Species,Code,Dataset,BIOME,,GF,Decid/E'green,Needle/Broad lf,C3C4,N2-fixer,log LL,log LMA,log Nmass,log Narea,log Gs,log Parea,log Amass,log Aarea
Datura stramonium,805,Gulias_UIB,WLAND,,H,,B,C3,N,0,1.68487519,0.757396029,0.607445726,3.092252655,0,2.77570449,1.455859567
Dittrichia viscosa,806,Gulias_UIB,WLAND,,S,,B,C3,N,0,1.731053798,0.531478917,0.262532715,2.60260252,0,2.503180253,1.22184875
Fraxinus angustifolia,807,Gulias_UIB,WLAND,,T,D,B,C3,N,0,2.053195757,0.374748346,0.446262151,2.636153438,0,2.307216279,1.355387658
Helleborus lividus,808,Gulias_UIB,WLAND,,S,E,B,C3,N,0,2.232513293,0.227886705,0.288168934,2.302835797,0,1.882717339,1.113943352
Helleborus foetidus,809,Gulias_UIB,WLAND,,S,E,B,C3,N,0,2.226161523,0.220108088,0.452621381,2.375358739,0,1.838670696,1.06483222
Lavandula dentata,810,Gulias_UIB,WLAND,,S,E,B,C3,N,0,1.9000576,0.390935107,0.290992707,2.640978057,0,2.473935446,1.377791768
Lavatera cretica,811,Gulias_UIB,WLAND,,H,,B,C3,N,0,1.679401067,0.702430536,0.381831603,2.889114869,0,2.80352867,1.45762962
Paeonia cambessedesii,812,Gulias_UIB,WLAND,,H,,B,C3,N,0,2.060282229,0.240549248,0.174441576,2.335123442,0,2.024294048,1.084576278
Populus alba,813,Gulias_UIB,WLAND,,T,D,B,C3,N,0,1.963812705,0.371067862,0.055943052,2.349601265,0,2.278595424,1.220108088
Quercus humilis,814,Gulias_UIB,WLAND,,T,D,B,C3,N,0,2.02267338,0.436162647,0.440822797,2.412460547,0,2.203473384,1.219780936
Verbascum sinuatum,815,Gulias_UIB,WLAND,,H,,B,C3,N,0,1.864531166,0.318063335,0.182594501,2.889768435,0,2.531208046,1.395326393
Vitex agnus-castus,816,Gulias_UIB,WLAND,,S,D,B,C3,N,0,1.920467271,0.523746467,0.444213737,2.674248596,0,2.44478343,1.354428597
Castanopsis sieboldii,817,Hikosaka-Japan_Chiba_Japan,TEMP_FOR,,T,E,B,C3,N,1.151961772,2.084476344,0.001600385,0.08607673,0,0,1.646401945,0.783546282
Quercus acuta,818,Hikosaka-Japan_Chiba_Japan,TEMP_FOR,,T,E,B,C3,N,1.160352736,2.045575673,-0.100360946,-0.054785273,0,0,1.669797763,0.754348336
Camellia japonica,819,Hikosaka-Japan_Chiba_Japan,TEMP_FOR,,T,E,B,C3,N,1.091087794,2.005263288,0.005927759,0.011191047,0,0,1.861778322,0.867551662
Cleyera japonica,820,Hikosaka-Japan_Chiba_Japan,TEMP_FOR,,T,E,B,C3,N,0.894404401,2.024927304,0.059847889,0.084775193,0,0,1.83930443,0.867762025
Cinnamomum japonicum,821,Hikosaka-Japan_Chiba_Japan,TEMP_FOR,,T,E,B,C3,N,1.376614971,2.049965384,-0.010409073,0.039556312,0,0,1.605483366,0.67055507
Neolitsea sericea,822,Hikosaka-Japan_Chiba_Japan,TEMP_FOR,,T,E,B,C3,N,1.201327126,1.979539676,0.021260412,0.000800088,0,0,1.617823492,0.591064607
Illicium anisatum,823,Hikosaka-Japan_Chiba_Japan,TEMP_FOR,,T,E,B,C3,N,1.222669186,1.763380298,0.098037513,-0.138582189,0,0,1.824526824,0.581209852
Maesa japonica,824,Hikosaka-Japan_Chiba_Japan,TEMP_FOR,,S,E,B,C3,N,1.157833672,1.909399619,0.042864433,-0.047735948,0,0,1.781350588,0.700415245
Boehmeria sp,825,Hikosaka-Malaysia_Mt_Kinabalu_low,TROP_RF,,S,E,B,C3,N,0,1.74274514,0.398380427,0.142555403,0,0,2.008618943,0.742856002
Syzygium sp1,826,Hikosaka-Malaysia_Mt_Kinabalu_low,TROP_RF,,T,E,B,C3,N,0,1.821898596,0.1702562,-0.04309502,0,0,1.723595389,0.53487186
Macaranga triloba,827,Hikosaka-Malaysia_Mt_Kinabalu_low,TROP_RF,,T,E,B,C3,N,0,1.541849421,0.514726179,0.06741923,0,0,2.341391975,0.901785145
Parashorea malaanonan,828,Hikosaka-Malaysia_Mt_Kinabalu_low,TROP_RF,,T,E,B,C3,N,0,1.68554207,0.279695663,-0.032111173,0,0,1.940599901,0.626545659
Shorea argentifolia,829,Hikosaka-Malaysia_Mt_Kinabalu_low,TROP_RF,,T,E,B,C3,N,0,1.665634758,0.324419696,-0.010724913,0,0,2.027002514,0.691611874
Drimys piperita,830,Hikosaka-Malaysia_Mt_Kinabalu_med,TROP_RF,,S,E,B,C3,N,0,1.82303849,0.180094305,0.003921722,0,0,1.869140725,0.679946767
Syzygium confertum,831,Hikosaka-Malaysia_Mt_Kinabalu_med,TROP_RF,,T,E,B,C3,N,0,2.058527569,0.13240197,0.186641669,0,0,1.672085858,0.765544382
Macaranga sp,832,Hikosaka-Malaysia_Mt_Kinabalu_med,TROP_RF,,T,E,B,C3,N,0,1.819739482,0.171176534,-0.004612778,0,0,1.892564452,0.714190003
Trigonobalanus verticillatus,833,Hikosaka-Malaysia_Mt_Kinabalu_med,TROP_RF,,T,E,B,C3,N,0,1.985729593,0.184205006,0.170828688,0,0,1.74019617,0.729974286
Tristaniopsis clementis,834,Hikosaka-Malaysia_Mt_Kinabalu_med,TROP_RF,,T,E,B,C3,N,0,2.102625943,0.052830998,0.145636147,0,0,1.772213789,0.817754193
Drimys piperita,835,Hikosaka-Malaysia_Mt_Kinabalu_high,TEMP_RF,,S,E,B,C3,N,0,2.06935629,0.253431073,0.326950096,0,0,1.505547921,0.572207543
Syzygium houttuynii,836,Hikosaka-Malaysia_Mt_Kinabalu_high,TEMP_RF,,T,E,B,C3,N,0,2.256155257,0.100784565,0.352380677,0,0,1.29439446,0.539076099
Lithocarpus havilandii,837,Hikosaka-Malaysia_Mt_Kinabalu_high,TEMP_RF,,T,E,B,C3,N,0,2.322680085,0.085466512,0.403563583,0,0,1.236443745,0.550024411
Photinia davidiana,838,Hikosaka-Malaysia_Mt_Kinabalu_high,TEMP_RF,,T,E,B,C3,N,0,2.166362855,0.347034937,0.505312856,0,0,1.656199736,0.814136566
Schima brevifolia,839,Hikosaka-Malaysia_Mt_Kinabalu_high,TEMP_RF,,T,E,B,C3,N,0,2.203860573,0.086727279,0.294393352,0,0,1.433906283,0.614545703
Drimys piperita,840,Hikosaka-Malaysia_Mt_Kinabalu_highest,TEMP_RF,,S,E,B,C3,N,0,2.07425492,0.345775437,0.41614574,0,0,1.390493006,0.437486313
Syzygium sp2,841,Hikosaka-Malaysia_Mt_Kinabalu_highest,TEMP_RF,,T,E,B,C3,N,0,2.261019201,0.245858073,0.502548071,0,0,1.204646816,0.45156715
Photinia davidiana,842,Hikosaka-Malaysia_Mt_Kinabalu_highest,TEMP_RF,,T,E,B,C3,N,0,2.110295529,0.336299988,0.427533073,0,0,1.500121635,0.567530481
Scolopia crassipes,843,Jayasekara_Sri_Lanka,TEMP_RF,,T,,,,N,0,2.079181246,0.133538908,0.212187604,0,-0.996022758,0,0
Eugenia mabaeoides,844,Jayasekara_Sri_Lanka,TEMP_RF,,T,,,,N,0,1.954242509,0.11058971,0.064457989,0,-1.192667961,0,0
Acronychia pedunculata,845,Jayasekara_Sri_Lanka,TEMP_RF,,T,,,,N,0,2.012837225,0.322219295,0.334453751,0,-1.012651083,0,0
Actinodaphne ambigua,846,Jayasekara_Sri_Lanka,TEMP_RF,,T,,,,N,0,2.184691431,0.056904851,0.240549248,0,-0.989233766,0,0
Allophylus varians,847,Jayasekara_Sri_Lanka,TEMP_RF,,T,,,,N,0,1.944482672,0.356025857,0.301029996,0,-0.873959554,0,0
Michelia nilagirica,848,Jayasekara_Sri_Lanka,TEMP_RF,,T,,,,N,0,1.919078092,0.26245109,0.181843588,0,-1.020601879,0,0
Acer saccharum,849,Jose_Gillespie_Indiana,TEMP_FOR,,T,D,B,C3,N,0,1.81417464,0.206825876,0.021000516,0,-1.144432674,0,0
Carya glabra,850,Jose_Gillespie_Indiana,TEMP_FOR,,T,D,B,C3,N,0,1.872895202,0.220108088,0.09300329,0,-1.047923552,0,0
Fagus grandifolia,851,Jose_Gillespie_Indiana,TEMP_FOR,,T,D,B,C3,N,0,1.830031826,0.294466226,0.124498052,0,-1.090786928,0,0
Liriodendron tulipifera,852,Jose_Gillespie_Indiana,TEMP_FOR,,T,D,B,C3,N,0,1.884389488,0.235528447,0.119917935,0,-1.036429266,0,0
Quercus alba,853,Jose_Gillespie_Indiana,TEMP_FOR,,T,D,B,C3,N,0,1.895854449,0.252853031,0.14870748,0,-0.82539195,0,0
Quercus prinus,854,Jose_Gillespie_Indiana,TEMP_FOR,,T,D,B,,N,0,1.940058112,0.176091259,0.116149371,0,-0.945998536,0,0
Quercus rubra,855,Jose_Gillespie_Indiana,TEMP_FOR,,T,D,B,C3,N,0,1.972650392,0.209515015,0.182165407,0,-0.948168362,0,0
Quercus velutina,856,Jose_Gillespie_Indiana,TEMP_FOR,,T,D,B,,N,0,2.021819483,0.139879086,0.161698569,0,-0.898999271,0,0
Acer rubrum,857,Jurik86_Pellston_MI,TEMP_FOR,,T,D,B,C3,N,0,1.857332496,0,0,0,0,2.061117246,0.918449742
Acer saccharum,858,Jurik86_Pellston_MI,TEMP_FOR,,T,D,B,C3,N,0,1.770852012,0,0,0,0,1.933212668,0.704064679
Fagus grandfolia,859,Jurik86_Pellston_MI,TEMP_FOR,,T,D,B,C3,N,0,1.792391689,0,0,0,0,2.018646819,0.811038509
Populus grandidentata,860,Jurik86_Pellston_MI,TEMP_FOR,,T,D,B,C3,N,0,1.892094603,0,0,0,0,2.286421921,1.178516524
Quercus rubra,861,Jurik86_Pellston_MI,TEMP_FOR,,T,D,B,C3,N,0,2.041392685,0,0,0,0,2.055169753,1.096562438
Anacardium excelsum,862,Kitajima_Panama,TROP_RF,,T,E,B,,N,0.9268,1.92,0.220108088,0.144904084,2.396373728,0,2.096393303,1.021189299
Luehea seemannii,863,Kitajima_Panama,TROP_RF,,T,D,B,,N,0.8024,2.14,0.307496038,0.442946737,2.893317812,0,2.131721029,1.267171728
Castilla elastica,864,Kitajima_Panama,TROP_RF,,T,D,B,,N,0.7649,1.89,0.328379603,0.217120564,2.553640336,0,2.003353642,0.892094603
Antirrhoea trichantha,865,Kitajima_Panama,TROP_RF,,T,D,B,,N,0.7599,1.97,0.315970345,0.284453294,2.937417581,0,2.31707436,1.285557309
Urera caracasana,866,Kitajima_Panama,TROP_RF,,T,D,B,,N,0.4759,1.83,0.583198774,0.408624892,3.116142654,0,2.36490558,1.190331698
Cecropia longipes,867,Kitajima_Panama,TROP_RF,,T,D,B,,N,0.4564,2.06,0.416640507,0.478469815,2.558588583,0,2.237023769,1.298853076
Acer palmatum,868,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0,1.653212514,0,0,0,0,1.966576245,0.619788758
Acer mono,869,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0.649334859,1.752048448,0.204119983,-0.04383157,0,0,1.905528871,0.657577319
Carpinus cordata,870,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0,1.797959644,0,0,0,0,1.93678363,0.734743274
Cornus contraversa,871,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0.63447727,1.797959644,0,0,0,0,1.970768128,0.768727771
Ostrya japonica,872,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0.672097858,1.812913357,0,0,0,0,2.008520765,0.821434122
Populus sieboldii,873,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0.546542663,1.832508913,0,0,0,0,2.177250925,1.009759837
Prunus ssiori,874,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0,1.860338007,0,0,0,0,1.879426069,0.739764075
Maackia amurensis,875,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,Y,0.626340367,1.880813592,0,0,0,0,1.948815008,0.8296286
Juglans ailanthifolia,876,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0.565847819,1.900367129,0.491361694,0.391728822,0,0,1.956782545,0.857149674
Cercidiphyllum japonicum,877,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0.641474111,1.857332496,0,0,0,0,2.007370316,0.864702812
Sorbus commixta,878,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0.713490543,1.866287339,0,0,0,0,2.002143345,0.868430684
Fraxinus madshurica,879,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0.572871602,1.857332496,0.380211242,0.237543738,0,0,2.022093572,0.879426069
Kalopanax pictus,880,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0,1.875061263,0,0,0,0,2.013319648,0.888380911
Tilia japonica,881,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0,1.86923172,0.380211242,0.249442961,0,0,2.031383648,0.900615368
Betula maximowicziana,882,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0,1.86332286,0,0,0,0,2.067255731,0.930578591
Betula platyphylla,883,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0,1.86332286,0.531478917,0.394801777,0,0,2.118765551,0.982088411
Alnus hirsuta,884,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,Y,0.517195898,1.894869657,0.505149978,0.400019635,0,0,2.158228197,1.053097854
Tilia maximowicziana,885,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0,1.911157609,0,0,0,0,1.940239736,0.851397345
Ulmus davidiana,886,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0,1.919078092,0.505149978,0.424228071,0,0,1.94562472,0.864702812
Prunus sargentii,887,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0,1.934498451,0,0,0,0,1.966116917,0.900615368
Sorbus alnifolia,888,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0,1.929418926,0,0,0,0,1.978035867,0.907454792
Magnolia obovata,889,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0.618048097,1.908485019,0,0,0,0,2.034774604,0.943259623
Alnus japonica,890,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,Y,0,1.908485019,0,0,0,0,2.101274818,1.009759837
Betula ermanii,891,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0.649334859,1.913813852,0,0,0,0,2.146502358,1.060316211
Fagus crenata,892,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0.725911632,1.980003372,0,0,0,0,1.757257559,0.73726093
Quercus mongolica,893,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0.719331287,1.959041392,0,0,0,0,1.874627186,0.833668578
Ulmus laciniata,894,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0.546542663,1.982271233,0,0,0,0,1.921777311,0.904048544
Betula davurica,895,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0,1.984527313,0,0,0,0,1.977085512,0.961612825
Salix hultenii,896,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0,2.012837225,0,0,0,0,1.848105438,0.860942663
Populus maximowiczii,897,Koike_SAPPORO__JAPAN,TEMP_FOR,,T,D,B,C3,N,0.556302501,2.010723865,0,0,0,0,2.097016995,1.107740861
Nothofagus menziesii,898,Korner_et_al_86_Haast_Valley_NZ,TEMP_RF,,T,,,,N,0,2.177831921,0.126968707,0.304800627,0,0,0,0
Griselinia littoralis,899,Korner_et_al_86_Haast_Valley_NZ,TEMP_RF,,T,,,,N,0,2.029188389,0.020339733,0.049528122,0,0,0,0
Gaultheria antipoda,900,Korner_et_al_86_Haast_Valley_NZ,TEMP_RF,,S,,,,N,0,2.054531415,-0.03886156,0.015669855,0,0,0,0
Ranunculus hirtus,901,Korner_et_al_86_Haast_Valley_NZ,TEMP_RF,,H,,,,N,0,1.778325003,0.146264383,-0.075410614,0,0,0,0
Achillea millefolium,902,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.693316506,0.35895519,0.052271695,0,0,0,0
Alnus incana,903,Kudo_Cornelissen_Abisko,TUNDRA,,T,D,B,C3,Y,0,1.858002705,0.507499697,0.365502403,0,0,0,0
Andromeda polifolia,904,Kudo_Cornelissen_Abisko,TUNDRA,,S,E,B,C3,N,1.168166396,2.110894091,0.191269322,0.302163413,0,0,0,0
Angelica sylvestris,905,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.4762931,0.473411497,-0.050295403,0,0,0,0
Anthriscus sylvestris,906,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.370601995,0.374706996,-0.254691009,0,0,0,0
Arctostaphylos alpina,907,Kudo_Cornelissen_Abisko,TUNDRA,,S,D,B,C3,N,0.471130891,1.930053004,0.158434115,0.091254714,0,0,0,0
Astragalus alpinus,908,Kudo_Cornelissen_Abisko,TUNDRA,,H,D,B,C3,Y,0,1.614141951,0.593640449,0.279903091,0,0,0,0
Astragalus frigidus,909,Kudo_Cornelissen_Abisko,TUNDRA,,H,D,B,C3,Y,0,1.669297262,0.703756632,0.378077808,0,0,0,0
Bartsia alpina,910,Kudo_Cornelissen_Abisko,TUNDRA,,H,D,B,C3,N,0,1.856025985,0.420112708,0.275630497,0,0,0,0
Betula nana,911,Kudo_Cornelissen_Abisko,TUNDRA,,S,D,B,C3,N,0.478309476,1.905416332,0.350164924,0.257826772,0,0,0,0
Betula pubescens,912,Kudo_Cornelissen_Abisko,TUNDRA,,T,D,B,C3,N,0,1.838503052,0.440722576,0.279225628,0,0,2.079181246,0.917684298
Calamagrostis lapponica,913,Kudo_Cornelissen_Abisko,TUNDRA,,G,,B,C3,N,0,1.589880159,0.244967466,-0.165152375,0,0,0,0
Caltha palustris,914,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.380209417,0.553461265,-0.066329318,0,0,0,0
Carex capitata,915,Kudo_Cornelissen_Abisko,TUNDRA,,G,,B,C3,N,0,1.875591792,0.232303481,0.107895273,0,0,0,0
Carex rostrata,916,Kudo_Cornelissen_Abisko,TUNDRA,,G,,B,C3,N,0,1.838615068,0.382858686,0.221473754,0,0,0,0
Carex vaginata,917,Kudo_Cornelissen_Abisko,TUNDRA,,G,,B,C3,N,0,1.793749306,0.286155718,0.079905024,0,0,0,0
Cassiope tetragona,918,Kudo_Cornelissen_Abisko,TUNDRA,,S,E,B,C3,N,1.517756103,0,-0.070581074,0,0,0,0,0
Chamerion angustifolium,919,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.820869884,0.469869121,0.290739006,0,0,0,0
Cornus suecica,920,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.509464894,0.315030456,-0.17550465,0,0,0,0
Deschampsia cespitosa,921,Kudo_Cornelissen_Abisko,TUNDRA,,G,,B,C3,N,0,1.743903979,0.270488437,0.014392416,0,0,0,0
Diphasiastrum complanatum,922,Kudo_Cornelissen_Abisko,TUNDRA,,F,E,B,C3,N,0,0,-0.094716944,0,0,0,0,0
Drosera rotundifolia,923,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.400971395,0.079270814,-0.519757791,0,0,1.658964843,0.059936237
Dryas octopetala,924,Kudo_Cornelissen_Abisko,TUNDRA,,S,E,B,C3,N,0.441167668,1.96941667,0.306221237,0.279810465,0,0,0,0
Elytrigia repens,925,Kudo_Cornelissen_Abisko,TUNDRA,,G,,B,C3,N,0,1.617421432,0.388039003,0.005460435,0,0,0,0
Empetrum hermaphroditum,926,Kudo_Cornelissen_Abisko,TUNDRA,,S,E,B,,N,1.610310067,2.247973266,-0.107905397,0.140067869,0,0,0,0
Empetrum nigrum,927,Kudo_Cornelissen_Abisko,TUNDRA,,S,E,B,C3,N,1.609959688,1.941215819,0.078016351,0.01923217,0,0,1.602059991,0.54327581
Equisetum sylvaticum,928,Kudo_Cornelissen_Abisko,TUNDRA,,F,,B,C3,N,0,1.612506632,0.36251846,-0.024974908,0,0,0,0
Eriophorum angustifolium,929,Kudo_Cornelissen_Abisko,TUNDRA,,G,,B,C3,N,0,1.883556206,0.409388142,0.292944348,0,0,0,0
Euphrasia frigida,930,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.486507458,0.730386137,0.216893595,0,0,0,0
Filipendula ulmaria,931,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.547582723,0.443788722,-0.008628555,0,0,0,0
Geranium sylvaticum,932,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.663840307,0.43479238,0.098632688,0,0,0,0
Gymnocarpium dryopteris,933,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.449955301,0.216640848,-0.333403851,0,0,0,0
Juncus arcticus,934,Kudo_Cornelissen_Abisko,TUNDRA,,G,,B,C3,N,0,2.355702635,0.349001558,0.704704193,0,0,0,0
Juniperus communis,935,Kudo_Cornelissen_Abisko,TUNDRA,,S,E,N,C3,N,0,2.222093616,0.059021647,0.281115263,0,0,0,0
Lathyrus pratensis,936,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,Y,0,1.530799787,0.686812733,0.21761252,0,0,0,0
Loiseleuria procumbens,937,Kudo_Cornelissen_Abisko,TUNDRA,,S,E,,,N,1.569197481,2.397940009,-0.148741651,0.249198357,0,0,0,0
Lycopodium annotinum,938,Kudo_Cornelissen_Abisko,TUNDRA,,F,E,B,C3,N,0,0,-0.066487404,0,0,0,0,0
Matteuccia struthiopteris,939,Kudo_Cornelissen_Abisko,TUNDRA,,F,,B,C3,N,0,1.566051965,0.517196947,0.083248911,0,0,0,0
Melampyrum sylvaticum,940,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.497791739,0.26964297,-0.232565291,0,0,0,0
Orthilia secunda,941,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.745465132,0.273481626,0.018946757,0,0,0,0
Pedicularis lapponica,942,Kudo_Cornelissen_Abisko,TUNDRA,,H,D,B,C3,N,0.316228931,1.788791171,0.487689128,0.254191313,0,0,0,0
Pedicularis sceptrum-carolinum,943,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.807540987,0.268676596,0.076217583,0,0,0,0
Phyllodoce caerulea,944,Kudo_Cornelissen_Abisko,TUNDRA,,S,E,,,N,1.448854496,2.075546961,-0.080921908,-0.005374946,0,0,0,0
Picea abies x obovata,945,Kudo_Cornelissen_Abisko,TUNDRA,,T,E,N,C3,N,0,2.478449249,0.121898232,0.60034748,0,0,0,0
Pinguicula vulgaris,946,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.216052192,0.200316874,-0.583630933,0,0,1.785329835,0.001382027
Pinus sylvestris,947,Kudo_Cornelissen_Abisko,TUNDRA,,T,E,N,C3,N,0,2.479201717,-0.025110419,0.454091298,0,0,0,0
Polygonum viviparum,948,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0.265076409,1.844363649,0.499594862,0.37396022,0,0,0,0
Populus tremula,949,Kudo_Cornelissen_Abisko,TUNDRA,,T,D,B,C3,N,0,1.886199138,0.398789077,0.284988216,0,0,0,0
Rhinanthus minor,950,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.817101689,0.550002831,0.367104519,0,0,0,0
Rhodiola rosea,951,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.532148187,0.494423653,0.026571839,0,0,0,0
Rhododendron lapponicum,952,Kudo_Cornelissen_Abisko,TUNDRA,,S,E,B,C3,N,1.140654382,2.128285657,0.221642411,0.353089403,0,0,0,0
Ribes spicatum,953,Kudo_Cornelissen_Abisko,TUNDRA,,S,D,B,C3,N,0,1.523340548,0.468833459,-0.007825993,0,0,0,0
Rubus chamaemorus,954,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.908630406,0.274861537,0.176991554,0,0,0,0
Rubus saxatilis,955,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.482506582,0.359034818,-0.1584586,0,0,0,0
Rumex obtusififolius,956,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.604403826,0.52274454,0.127148366,0,0,0,0
Salix lapponum,957,Kudo_Cornelissen_Abisko,TUNDRA,,S,D,B,C3,N,0,1.933230946,0.389405324,0.322636269,0,0,0,0
Salix myrsinites,958,Kudo_Cornelissen_Abisko,TUNDRA,,S,D,B,C3,N,0.473536961,2.065885565,0.236357721,0.297090225,0,0,0,0
Salix reticulata,959,Kudo_Cornelissen_Abisko,TUNDRA,,S,D,B,C3,N,0.508114457,2.098216315,0.22796058,0.324941156,0,0,0,0
Solidago virgaurea,960,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.560164559,0.457033665,0.017198224,0,0,0,0
Sorbus aucuparia,961,Kudo_Cornelissen_Abisko,TUNDRA,,T,D,B,C3,N,0,1.797547454,0.287006288,0.084553742,0,0,0,0
Tanacetum vulgare,962,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,N,0,1.688916965,0.423399252,0.112316218,0,0,0,0
Trifolium pratense,963,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,Y,0,1.407091346,0.673672224,0.08076357,0,0,0,0
Vaccinium myrtillus,964,Kudo_Cornelissen_Abisko,TUNDRA,,S,D,B,C3,N,0.471130891,1.731129628,0.277858375,0.00997804,0,0,2.012837225,0.69578652
Vaccinium uliginosum,965,Kudo_Cornelissen_Abisko,TUNDRA,,S,D,B,C3,N,0.471130891,1.891389022,0.297828877,0.202942319,0,0,2.012837225,0.817415907
Vaccinium vitis-idaea,966,Kudo_Cornelissen_Abisko,TUNDRA,,S,E,B,C3,N,1.444771792,2.202715335,-0.015988445,0.192486253,0,0,1.602059991,0.727578787
Viccia cracca,967,Kudo_Cornelissen_Abisko,TUNDRA,,H,,B,C3,Y,0,1.444049612,0.735002144,0.179051756,0,0,0,0
Arctostaphylos alpina,968,Kudo_Cornelissen_Latnjajaure,TUNDRA,,S,D,B,C3,N,0.386120101,1.982271233,0.269512944,0.251784177,0,0,0,0
Astragalus alpinus,969,Kudo_Cornelissen_Latnjajaure,TUNDRA,,H,D,B,C3,Y,0,1.662757832,0.749736316,0.412494147,0,0,0,0
Astragalus frigidus,970,Kudo_Cornelissen_Latnjajaure,TUNDRA,,H,D,B,C3,Y,0,1.672097858,0.745855195,0.417953053,0,0,0,0
Bartsia alpina,971,Kudo_Cornelissen_Latnjajaure,TUNDRA,,H,D,B,C3,N,0,1.901390202,0.390935107,0.290924559,0,0,0,0
Betula nana,972,Kudo_Cornelissen_Latnjajaure,TUNDRA,,S,D,B,C3,N,0.316228931,1.910748769,0.498999364,0.409797913,0,0,0,0
Carex saxatilis,973,Kudo_Cornelissen_Latnjajaure,TUNDRA,,G,,B,C3,N,0,1.790561487,0.462072155,0.252633641,0,0,0,0
Cassiope tetragona,974,Kudo_Cornelissen_Latnjajaure,TUNDRA,,S,E,B,C3,N,1.590850992,2.133491756,0.13414522,0.259200682,0,0,0,0
Diapensia lapponica,975,Kudo_Cornelissen_Latnjajaure,TUNDRA,,S,E,,,N,1.626635619,2.195741051,0.131939295,0.328359214,0,0,0,0
Dryas octopetala,976,Kudo_Cornelissen_Latnjajaure,TUNDRA,,S,E,B,C3,N,0.419978369,2.05640549,0.309630167,0.365899621,0,0,0,0
